question,alternative1,alternative2,alternative3
When did the Roman Empire fall,476 CE last Western emperor Romulus Augustulus deposed (476 CE),Division into Western and Eastern Empire (395 CE),Constantinople conquered by the Ottomans (1453 CE)
What were some key factors in the Roman Empire's military success,Well-disciplined army with professional soldiers,Efficient infrastructure such as roads and logistics,Integration of conquered peoples through citizenship
Name the first emperor of the Roman Empire,Augustus received the title emperor (27 BCE),Octavian his name before becoming Augustus,Julius Caesar paved the way but was not formally emperor
When did the Roman Empire become large,During the Republic especially after the Punic Wars (264–146 BCE),Under Augustus expansion in Gaul Spain and the Balkans continued,After the defeat of Carthage Rome dominated the Mediterranean
When did Christianity become the state religion of the Roman Empire,Theodosius I establishes the true faith (380 CE),Edict of Milan legalizes Christianity (313 CE),Early 300s emperors like Constantine support the Church
When was Rome founded according to tradition,Founded by Romulus according to myth (753 BCE),Archaeology shows settlements from the 8th century BCE (800s BCE),Early Kingdom period with Etruscan and Latin roots
What does Pax Romana mean,Period of peace and stability (27 BCE–180 CE),Economic prosperity and cultural flourishing,Strong central authority and military presence
Which was the Roman Empire's greatest enemy,Hannibal and Carthage classical enemy of the Republic,Germanic tribes such as Goths and Vandals important in the fall,Persian or Sasanian Empire long term rival
When did Rome become a Christian realm,Constantine's victory at the Milvian Bridge (312 CE),Edict of Milan grants religious freedom (313 CE),Christianity becomes state religion (380 CE)
Where was the center of the Roman Empire in its later history,Rome original and symbolic capital,Constantinople capital from (330 CE),Ravenna Western administrative center from (402 CE)
When did the end of the Roman Republic begin,Tiberius Gracchus political conflict begins (133 BCE),Julius Caesar crosses the Rubicon (49 BCE),Battle of Actium Augustus defeats Antony (31 BCE)
Which battle was most decisive for Rome's future,Battle of Zama Carthage defeated (202 BCE),Battle of Actium leads to the empire (31 BCE),Battle of Adrianople Gothic victory (378 CE)
When did Rome show itself militarily unbeatable,Battle of Cannae Rome endures despite defeat (216 BCE),Battle of Alesia Caesar crushes Gaul (52 BCE),Trajan's Dacian campaigns peak expansion (101–106 CE)
Which type of army dominated Rome's golden age,Manipular system flexible Republican legions,Marius' legions professional soldiers loyal to generals,Late Empire limitanei frontier defense troops
How could a slave become free in Rome,Manumission legal freeing by owner,Redemption buying one's freedom,Military service leading to citizenship in some cases
Which city was largest in the Roman Empire,Rome largest city of the ancient world,Alexandria cultural and economic center,Constantinople major capital after (330 CE)
When was the Roman Empire divided into two parts,Diocletian divides administration (285 CE),Permanent split after Theodosius' death (395 CE),Constantinople founded beginning eastern focus (330 CE)
