question,answer_key,source
When did the Roman Empire fall?,476 CE last Western emperor Romulus Augustulus deposed (476 CE)
What's the name of Rhea Silvia's father?,Numitor
Which antique biographer told stories about tiberius acne, claudius digestion issues and domitianus habit of swimming with prostitutes?,Svetonius,p 391
Who was the first Roman emperor to convert to Christianity?,Constantine the Great
What was the primary purpose of Roman aqueducts?,To transport water from distant sources into cities
What was the name of the Emperor said to have fiddled while Rome burned?,Nero
Which Roman general famously crossed the Alps with elephants during the Second Punic War?,Hannibal
What structure served as the center of political life in ancient Rome?,The Roman Forum
Which city were destroyed after the eruption of Mount Vesuvius?,Pompeii
How many roman emperors were there in total?,Approximately 70 emperors from Augustus to Romulus Augustulus
How many roman emperors were there in year 236 AD?,6
Which emperor completely rebuilt Panthenon?,Hadrian 118-128 AD
When and where did Hannibal arrive at the alps?,218 BC at the plain of Po River Valley
What's the name of the UNESCO marked lighthouse?,Tower of Hercules
Which emperor outlawed Paganism?,Theodosius I
What's the full name of emperor Caligula?,Gaius Julius Caesar Augustus Germanicus
What's the name of the battle where Hannibal defeated the Romans in 216 BC?,Battle of Cannae
What's the name of the battle that ended the second punic war?,Battle of Zama
What does SPQR stand for?,Senatus Populusque Que Romanus (The Senate and People of Rome)
What does SPQR stand for according to Asterix and obelix?,Sono Pazzi Questi (these romans are crazy)
What's the name of the Roman frontier stretched between the rivers of Clyde and Forth in Britain?,Antonine Wall
Which hill was chosen as the site for the founding of Rome?,Palatine Hill
What is the name of the Roman goddess of wisdom?,Minerva
What is the name of the Roman god of war?,Mars
Under which emperor was Rome invaded and established as a province?,Claudius
How many are in the senate?,100, senate started with 100 members but later increased to up to 900 members
"What is the name of the council formed by Lepidus and Mark Antony to oppose Octavian?",Second Triumvirate
"How goes the latin quote by Cicero, praising his consulship?","O fortunatam natam me consule Romam (Oh fortunate Rome, born when I was consul)"
What is the name of Marcus Aurelis book often referred to about Stoicism?,Meditations
What was the death of Romulus according to Livius?, He was taken up to heaven by a storm and became the god Quirinus following 30 years of unfortunate weather
At what age did Gordian III become emperor?,13 years old
How many volumes are in Justinian's Corpus Juris Civilis?,4 volumes
"As they helped from Gauls 4BE,tufted,roman geese, became sacred to which goddess?","Juno, the protector of Rome"
What year did St. Valentine die?,269 AD
"Which Puccini opera is set in ancient Rome in June 1800, and tells the story of an opera singer, her lover (a painter) and corrupt chief of police?",Tosca
What's the name of the Roman festival celebrated on February 15th, involving the sacrifice of a dog?,Lupercalia
What's the name of the two-handled containers used in Ancient Greece and Rome for shipping and storing liquids like wine and oil?,Amphorae
"In 193AD, The Praetorian Guard killed emperor Pertinax and the offed up WHAT at auction?",The Roman Empire
Which Roman Emperor financed the biggest public bath complex in Rome in 210s CE?,Caracalla 
Which emperor's self-adopted title means "restorer of the world"?,Aurelian
What does Cicero mean is Romulus fate?, That he was murdered by the senators who feared his power
What did the Romans call their early version of modern apartments?,Insulae
Which Roman emperor expanded the empire to its greatest territorial extent?,Trajan
Which is the roman emperor most famous for his cruelty and persecutions of Christians?,Nero
Which North African city was the birthplace of Roman Emperor Septimius Severus?,Leptis Magna
Under which consulship were Jesus Christ crucified?,Pontius Pilate, named but is about 26-36 CE which would correspond to Tiberius reign
What year marked the death of Julius Caesar?,44 BC
Which famous Italian painter were buried in the Roman Pantheon?,Raphael
What is a Peutinger table?,A medieval copy of a Roman road map
Whom was the last legitimate emperor of the Western Roman Empire?,Julius Nepos, highly debated between that and Romulus Augustulus
Which hill derives to the english word 'capitol'?,Capitoline Hill


